and	oraz
was	była
was	był
was	było
for	na
for	dla
for	za
that	że
from	from
from	od
this	tym
utc	utc
his	jego
not	nie
are	są
talk	mówić
which	które
which	która
which	który
also	także
also	też
also	również
has	posiada
has	ma
were	były
were	byli
but	ale
have	posiadać
have	mają
have	mieć
one	jeden
one	jedna
new	nowości
new	nowe
new	nowość
new	nowy
new	nowa
first	pierwszy
first	pierwsze
first	najpierw
first	pierwsza
page	stronę
page	stronie
page	page
page	strona
page	strony
you	ciebie
you	ty
they	oni
had	mial
had	miałem
had	miała
had	miał
article	artykułu
article	artykul
article	artykuł
who	kto
who	kogo
who	who
all	wszystkie
all	wszystko
all	all
all	wszyscy
their	ich
there	tam
made	wykonane
made	made
made	zrobione
its	jego
people	ludzi
people	osoby
people	people
people	ludzie
may	majowe
may	maja
may	może
may	majowy
may	maj
after	after
after	po
other	innych
other	inne
other	pozostałe
other	inny
should	powinien
should	powinny
should	powinno
should	powinna
two	dwie
two	dwóch
two	dwa
score	wynik
her	jej
her	ją
can	można
can	can
more	more
more	bardziej
more	więcej
she	ona
when	gdy
when	kiedy
time	czasu
time	czas
team	ekipa
team	team
team	drużyny
team	drużyna
team	zespół
american	amerykańska
american	american
american	amerykański
american	amerykańskie
american	amerykanin
such	taki
such	takie
discussion	dyskusja
discussion	omówienie
discussion	dyskusji
discussion	dyskusje
discussion	dyskusję
links	linków
links	łącza
links	linki
links	odnośniki
only	tylko
some	niektóre
some	niektórzy
some	trochę
see	patrz
see	zobacz
united	zjednoczone
united	united
united	zjednoczona
united	zjednoczeni
united	zjednoczonych
years	lat
years	lata
school	szkoły
school	szkoła
world	świat
world	swiat
world	świata
world	świecie
world	world
university	uniwersytety
university	uniwersytetu
university	university
university	uczelnia
university	uniwersytet
during	podczas
out	out
state	stan
state	state
state	państwo
states	stany
states	stanów
national	krajowa
national	krajowe
national	national
national	narodowy
national	krajowy
national	krajowych
wikipedia	wikipedia
year	roku
year	rok
most	większość
most	najczęściej
most	większości
most	najbardziej
city	city
city	miejscowość
city	miasta
city	miasto
over	ponad
over	over
over	odbiór
used	stosowane
used	wykorzystane
used	użyte
used	używana
used	używany
used	używane
then	wtedy
than	niz
than	niż
county	hrabstwo
county	okręg
county	hrabstwa
county	powiat
external	zewnętrzne
where	gdzie
will	will
will	willa
will	będzie
what	jakie
what	co
delete	usuń
delete	usunąć
any	jakikolwiek
any	dowolny
any	jakiekolwiek
these	tych
these	te
january	styczeń
january	stycznia
january	styczniu
march	marzec
march	marca
march	marsz
august	sierpnia
august	augusta
august	august
august	sierpień
july	lipca
july	lipiec
being	bycie
being	będąc
being	bycia
film	filmy
film	folia
film	film
him	go
many	wielu
many	wiele
south	południe
september	wrzesień
september	września
like	jak
like	like
between	między
between	pomiędzy
october	październik
october	października
three	trzy
june	czerwca
june	june
june	czerwiec
well	cóż
use	wykorzystanie
use	użyć
use	użyj
war	wojnę
war	wojna
war	wojny
war	war
under	pod
them	je
them	ich
them	im
april	kwietnia
april	april
