the	os
was	estava
was	era
was	tava
was	foi
for	por
for	para
that	essa
that	isso
that	que
with	com
from	do
from	de
from	da
this	este
this	esta
this	isso
this	isto
this	essa
this	esse
utc	utc
his	seu
his	his
his	sua
not	não
are	são
are	estão
are	sao
are	are
talk	conversar
talk	fala
talk	falar
talk	fale
talk	conversa
which	qual
also	igualmente
also	também
has	tem
were	estavam
were	foram
were	eram
but	mas
have	tenha
have	ter
one	um
one	uma
one	one
new	novo
new	novas
new	novos
new	novidade
new	nova
first	primeira
first	primeiros
first	primeiramente
first	primeiro
page	pagina
page	página
page	page
you	tu
you	você
you	vc
they	eles
they	elas
had	tive
had	tinha
had	teve
article	artigo
who	oms
who	who
who	quem
all	todas
all	tudo
all	todos
their	suas
there	ai
there	ali
there	aí
there	lá
been	sido
made	feitos
made	feita
made	feito
made	made
its	seu
its	sua
people	pessoas
people	povo
people	gente
may	may
may	maio
may	pode
after	após
after	after
after	depois
other	outro
other	outros
other	outras
other	outra
should	deveria
should	devia
should	deve
should	deveriam
two	duas
two	two
two	dois
score	pontuação
score	placar
her	dela
her	ela
her	her
can	pode
can	podem
can	lata
can	can
would	iria
would	faria
more	mais
more	more
she	ela
she	she
about	sobre
when	quando
when	when
time	hora
time	horário
time	tempo
time	time
team	team
team	equipa
team	time
team	equipe
american	americano
american	americanos
american	american
american	americana
such	tal
such	tais
discussion	discussão
discussion	discussões
links	ligações
links	links
only	só
only	apenas
only	somente
only	unicamente
some	alguns
some	algum
some	algumas
see	veja
see	vê
see	ver
united	unidas
united	unida
united	united
united	unidos
years	years
years	anos
into	into
school	escola
world	world
world	mundo
university	university
university	universidade
during	durante
out	fora
out	out
state	estaduais
state	state
state	estado
state	estadual
states	estados
national	national
national	nacionais
national	nacional
wikipedia	wikipédia
wikipedia	wikipedia
year	ano
most	most
city	cidade
over	over
used	utilizada
used	usada
used	usado
used	utilizado
used	utilizados
used	usados
then	então
then	depois
than	than
county	condado
external	externas
external	externo
external	externos
external	externa
where	aonde
where	onde
will	will
will	vontade
delete	apagar
delete	excluir
delete	apaga
delete	eliminar
any	qualquer
these	estes
these	essas
these	estas
these	esses
january	janeiro
march	march
march	marchar
march	marcha
